Wavelength (Å),Sum,He I (9.8e-01),He II (2.2e-04),Ne I (9.9e-03),Ne II (1.1e-04),Ne III (3.7e-15),Ar I (2.8e-03),Ar II (7.2e-03),Ar III (7.6e-08)
2346.2,2.227e-6,,,,,3.384e-26,,2.217e-6,1.022e-8
2348.1,5.735e-7,,,,,7.482e-26,,5.639e-7,9.637e-9
2350,1.393e-7,,,,,1.520e-25,,1.310e-7,8.319e-9
2351.9,3.435e-8,,,,,2.837e-25,,2.777e-8,6.572e-9
2353.8,1.013e-8,,,,,4.866e-25,,5.379e-9,4.751e-9
2355.8,3.935e-9,,,,,7.842e-25,,8.663e-10,3.068e-9
2357.7,1.988e-9,,,,,1.132e-24,,1.393e-10,1.849e-9
2359.6,1.040e-9,,,,,1.503e-24,,2.044e-11,1.020e-9
2361.5,5.174e-10,,,,,1.836e-24,,2.740e-12,5.147e-10
2363.5,2.280e-10,,,,,2.070e-24,,2.996e-13,2.277e-10
2365.4,9.581e-11,,,,,2.132e-24,,3.333e-14,9.578e-11
2367.3,3.688e-11,,,,,2.020e-24,,3.386e-15,3.687e-11
2369.2,1.299e-11,,,,,1.762e-24,,3.142e-16,1.299e-11
2371.2,3.936e-12,,,,,1.396e-24,,2.332e-17,3.936e-12
2373.1,1.156e-12,,,,,1.028e-24,,,1.156e-12
2375,3.107e-13,,,,,6.968e-25,,,3.107e-13
2376.9,7.641e-14,,,,,4.351e-25,,,7.641e-14
2378.8,1.720e-14,,,,,2.502e-25,,,1.720e-14
2380.8,3.252e-15,,,,,1.280e-25,,,3.252e-15
2382.7,6.100e-16,,,,,6.284e-26,,,6.100e-16
2384.6,1.047e-16,,,,,3.040e-26,,,1.047e-16
2386.5,1.646e-17,,,,,2.002e-26,,,1.646e-17
2388.5,2.131e-18,,,,,3.198e-26,,,2.131e-18
2390.4,2.791e-19,,,,,8.109e-26,,,2.791e-19
2392.3,3.345e-20,,,,,2.119e-25,,,3.345e-20
2394.2,3.670e-21,,,,,5.191e-25,,,3.669e-21
2396.2,3.268e-22,,,,,1.224e-24,,,3.255e-22
2398.1,3.231e-23,,,,,2.542e-24,,,2.976e-23
2400,7.351e-24,,,,,4.861e-24,,,2.490e-24
2401.9,8.552e-24,,,,,8.552e-24,,,
2403.8,1.384e-23,,,,,1.384e-23,,,
2405.8,2.101e-23,,,,,2.101e-23,,,
2407.7,2.865e-23,,,,,2.865e-23,,,
2409.6,3.594e-23,,,,,3.594e-23,,,
2411.5,4.148e-23,,,,,4.148e-23,,,
2413.5,4.406e-23,,,,,4.406e-23,,,
2415.4,4.283e-23,,,,,4.283e-23,,,
2417.3,3.830e-23,,,,,3.830e-23,,,
2419.2,3.150e-23,,,,,3.150e-23,,,
2421.2,2.343e-23,,,,,2.343e-23,,,
2423.1,1.624e-23,,,,,1.624e-23,,,
2425,1.036e-23,,,,,1.036e-23,,,
2426.9,7.679e-24,,,,,6.082e-24,,,1.597e-24
2428.8,2.044e-23,,,,,3.296e-24,,,1.714e-23
2430.8,1.930e-22,,,,,1.594e-24,,,1.914e-22
2432.7,1.748e-21,,,,,7.512e-25,,,1.747e-21
2434.6,1.473e-20,,,,,3.457e-25,,,1.473e-20
2436.5,1.148e-19,,,,,1.682e-25,,,1.148e-19
2438.5,9.151e-19,,,,,9.432e-26,,,9.151e-19
2440.4,6.063e-18,,,,,6.767e-26,,,6.063e-18
2442.3,3.712e-17,,,,,5.622e-26,,,3.712e-17
2444.2,2.099e-16,,,,,5.033e-26,,,2.099e-16
2446.2,1.194e-15,,,,,4.766e-26,,,1.194e-15
2448.1,5.744e-15,,,,,4.886e-26,,,5.744e-15
2450,2.552e-14,,,,,5.457e-26,,,2.552e-14
2451.9,1.048e-13,,,,,6.533e-26,,,1.048e-13
2453.8,3.976e-13,,,,,8.136e-26,,,3.976e-13
2455.8,1.486e-12,,,,,1.043e-25,,,1.486e-12
2457.7,4.792e-12,,,,,1.328e-25,,,4.792e-12
2459.6,1.428e-11,,,,,1.703e-25,,,1.428e-11
2461.5,3.934e-11,,,,,2.195e-25,,,3.934e-11
2463.5,1.049e-10,,,,,2.870e-25,,,1.049e-10
2465.4,2.456e-10,,,,,3.655e-25,,,2.456e-10
2467.3,5.315e-10,,,,,4.527e-25,,,5.315e-10
2469.2,1.062e-9,,,,,5.372e-25,,,1.062e-9
2471.2,2.023e-9,,,,,6.064e-25,,,2.023e-9
2473.1,3.438e-9,,,,,6.377e-25,,,3.438e-9
2475,5.400e-9,,,,,6.258e-25,,,5.400e-9
2476.9,7.837e-9,,,,,5.710e-25,,,7.837e-9
2478.8,1.051e-8,,,,,4.833e-25,,,1.051e-8
2480.8,1.315e-8,,,,,3.732e-25,,,1.315e-8
2482.7,1.501e-8,,,,,2.695e-25,,,1.501e-8
2484.6,1.585e-8,,,,,1.800e-25,,,1.585e-8
2486.5,1.550e-8,,,,,1.111e-25,,,1.550e-8
2488.5,1.399e-8,,,,,6.153e-26,,,1.399e-8
2490.4,1.186e-8,,,,,3.260e-26,,,1.186e-8
2492.3,9.564e-9,,,,,1.644e-26,,,9.564e-9
2494.2,7.587e-9,,,,,8.539e-27,,,7.587e-9
2496.2,6.236e-9,,,,,5.441e-27,,,6.236e-9
2498.1,5.812e-9,,,,,5.211e-27,,,5.812e-9
2500,6.198e-9,,,,,6.326e-27,,,6.198e-9
2501.9,7.211e-9,,,,,8.003e-27,,,7.211e-9
2503.8,8.554e-9,,,,,9.686e-27,,,8.554e-9
2505.8,9.928e-9,,,,,1.099e-26,,,9.928e-9
2507.7,1.083e-8,,,,,1.146e-26,,,1.083e-8
2509.6,1.108e-8,,,,,1.107e-26,,,1.108e-8
2511.5,1.057e-8,,,,,9.894e-27,,,1.057e-8
2513.5,9.333e-9,,,,,8.083e-27,,,9.333e-9
2515.4,7.742e-9,,,,,6.161e-27,,,7.742e-9
2517.3,6.084e-9,,,,,4.345e-27,,,6.084e-9
2519.2,4.679e-9,,,,,2.835e-27,,,4.679e-9
2521.2,3.730e-9,,,,,1.664e-27,,,3.730e-9
2523.1,3.453e-9,,,,,9.257e-28,,,3.453e-9
2525,3.778e-9,,,,,4.767e-28,,,3.778e-9
2526.9,4.581e-9,,,,,2.271e-28,,,4.581e-9
2528.8,5.653e-9,,,,,1.001e-28,,,5.653e-9
2530.8,6.776e-9,,,,,3.889e-29,,,6.776e-9
2532.7,7.561e-9,,,,,1.462e-29,,,7.561e-9
2534.6,7.861e-9,,,,,5.086e-30,,,7.861e-9
2536.5,7.590e-9,,,,,1.638e-30,,,7.590e-9
2538.5,6.743e-9,,,,,4.600e-31,,,6.743e-9
2540.4,5.576e-9,,,,,1.493e-31,,,5.576e-9
2542.3,4.274e-9,,,,,1.910e-31,,,4.274e-9
2544.2,3.036e-9,,,,,9.930e-31,,,3.036e-9
2546.2,1.952e-9,,,,,6.213e-30,,,1.952e-9
2548.1,1.186e-9,,,,,3.316e-29,,,1.186e-9
2550,6.684e-10,,,,,1.647e-28,,,6.684e-10
2551.9,3.490e-10,,,,,7.613e-28,,,3.490e-10
2553.8,1.689e-10,,,,,3.275e-27,,,1.689e-10
