Wavelength (Å),Sum,He I (9.8e-01),He II (2.2e-04),Ne I (9.9e-03),Ne II (1.1e-04),Ne III (3.7e-15),Ar I (2.8e-03),Ar II (7.2e-03),Ar III (7.6e-08)
3205,4.105e+0,3.975e+0,4.097e-14,,5.362e-7,1.814e-29,,1.296e-1,5.817e-10
3210,3.396e+0,3.271e+0,3.925e-14,,5.849e-7,1.478e-29,,1.241e-1,1.213e-9
3215,2.687e+0,2.563e+0,3.582e-14,,6.174e-7,1.818e-29,,1.237e-1,2.417e-9
3220,2.039e+0,1.912e+0,3.113e-14,,6.306e-7,3.565e-29,,1.279e-1,4.606e-9
3225,1.493e+0,1.357e+0,2.577e-14,,6.241e-7,8.526e-29,,1.358e-1,8.399e-9
3230,1.063e+0,9.174e-1,2.032e-14,,5.998e-7,2.085e-28,,1.460e-1,1.466e-8
3235,7.475e-1,5.903e-1,1.525e-14,,5.621e-7,4.946e-28,,1.571e-1,2.448e-8
3240,5.292e-1,3.616e-1,1.091e-14,4.521e-17,5.177e-7,1.126e-27,,1.676e-1,3.915e-8
3245,3.874e-1,2.109e-1,7.432e-15,2.541e-16,4.748e-7,2.450e-27,,1.765e-1,5.999e-8
3250,3.005e-1,1.171e-1,4.821e-15,1.369e-15,4.428e-7,5.098e-27,,1.834e-1,8.811e-8
3255,2.505e-1,6.188e-2,2.979e-15,7.073e-15,4.315e-7,1.014e-26,,1.886e-1,1.241e-7
3260,2.240e-1,3.113e-2,1.753e-15,3.504e-14,4.508e-7,1.928e-26,,1.929e-1,1.677e-7
3265,2.121e-1,1.491e-2,9.827e-16,1.665e-13,5.110e-7,3.504e-26,,1.972e-1,2.176e-7
3270,2.092e-1,6.800e-3,5.247e-16,7.583e-13,6.222e-7,6.088e-26,,2.024e-1,2.713e-7
3275,2.115e-1,2.952e-3,2.668e-16,3.311e-12,7.951e-7,1.011e-25,,2.085e-1,3.252e-7
3280,2.166e-1,1.220e-3,1.292e-16,1.387e-11,1.040e-6,1.605e-25,,2.153e-1,3.751e-7
3285,2.221e-1,4.799e-4,5.959e-17,5.567e-11,1.367e-6,2.435e-25,,2.216e-1,4.165e-7
3290,2.261e-1,1.797e-4,2.618e-17,2.143e-10,1.782e-6,3.532e-25,,2.259e-1,4.457e-7
3295,2.267e-1,6.408e-5,1.095e-17,7.910e-10,2.290e-6,4.897e-25,,2.266e-1,4.599e-7
3300,2.228e-1,2.175e-5,4.365e-18,2.800e-9,2.887e-6,6.489e-25,,2.228e-1,4.583e-7
3305,2.141e-1,7.041e-6,1.657e-18,9.501e-9,3.556e-6,8.221e-25,,2.141e-1,4.414e-7
3310,2.009e-1,2.208e-6,5.990e-19,3.092e-8,4.272e-6,9.954e-25,,2.009e-1,4.114e-7
3315,1.847e-1,7.763e-7,2.062e-19,9.649e-8,4.997e-6,1.152e-24,,1.847e-1,3.717e-7
3320,1.673e-1,6.047e-7,6.763e-20,2.887e-7,5.681e-6,1.275e-24,,1.673e-1,3.263e-7
3325,1.509e-1,1.274e-6,2.112e-20,8.285e-7,6.274e-6,1.348e-24,,1.509e-1,2.791e-7
3330,1.375e-1,3.382e-6,6.284e-21,2.280e-6,6.725e-6,1.363e-24,,1.374e-1,2.333e-7
3335,1.285e-1,8.878e-6,1.780e-21,6.017e-6,6.997e-6,1.317e-24,,1.284e-1,1.914e-7
3340,1.247e-1,2.241e-5,4.804e-22,1.523e-5,7.066e-6,1.216e-24,,1.247e-1,1.547e-7
3345,1.264e-1,5.426e-5,1.235e-22,3.697e-5,6.930e-6,1.074e-24,,1.263e-1,1.237e-7
3350,1.328e-1,1.260e-4,3.023e-23,8.610e-5,6.606e-6,9.064e-25,,1.325e-1,9.817e-8
3355,1.428e-1,2.804e-4,7.048e-24,1.923e-4,6.126e-6,7.312e-25,,1.423e-1,7.748e-8
3360,1.551e-1,5.983e-4,1.565e-24,4.122e-4,5.533e-6,5.638e-25,,1.541e-1,6.080e-8
3365,1.681e-1,1.224e-3,3.310e-25,8.476e-4,4.875e-6,4.156e-25,,1.660e-1,4.734e-8
3370,1.805e-1,2.402e-3,6.667e-26,1.673e-3,4.196e-6,2.928e-25,,1.764e-1,3.645e-8
3375,1.913e-1,4.518e-3,1.279e-26,3.169e-3,3.534e-6,1.972e-25,,1.836e-1,2.764e-8
3380,2.006e-1,8.149e-3,2.338e-27,5.762e-3,2.919e-6,1.270e-25,,1.866e-1,2.057e-8
3385,2.091e-1,1.409e-2,4.068e-28,1.006e-2,2.369e-6,7.814e-26,,1.849e-1,1.496e-8
3390,2.188e-1,2.337e-2,6.744e-29,1.688e-2,1.894e-6,4.597e-26,,1.786e-1,1.062e-8
3395,2.329e-1,3.715e-2,1.065e-29,2.722e-2,1.496e-6,2.585e-26,,1.686e-1,7.350e-9
3400,2.552e-1,5.662e-2,,4.220e-2,1.169e-6,1.389e-26,,1.564e-1,4.990e-9
3405,2.896e-1,8.275e-2,,6.293e-2,9.076e-7,7.138e-27,,1.439e-1,3.376e-9
3410,3.396e-1,1.160e-1,,9.034e-2,7.021e-7,3.505e-27,,1.334e-1,2.369e-9
3415,4.078e-1,1.558e-1,,1.249e-1,5.439e-7,1.646e-27,,1.271e-1,1.860e-9
3420,4.947e-1,2.007e-1,,1.665e-1,4.252e-7,7.385e-28,,1.276e-1,1.779e-9
3425,5.989e-1,2.479e-1,,2.141e-1,3.394e-7,3.168e-28,,1.370e-1,2.094e-9
3430,7.170e-1,2.935e-1,,2.658e-1,2.813e-7,1.299e-28,,1.577e-1,2.807e-9
3435,8.441e-1,3.333e-1,,3.190e-1,2.469e-7,5.091e-29,,1.917e-1,3.944e-9
3440,9.744e-1,3.629e-1,,3.705e-1,2.328e-7,1.907e-29,,2.411e-1,5.539e-9
3445,1.103e+0,3.788e-1,,4.167e-1,2.360e-7,6.831e-30,,3.070e-1,7.616e-9
3450,1.224e+0,3.791e-1,,4.545e-1,2.531e-7,2.339e-30,,3.901e-1,1.017e-8
3455,1.334e+0,3.638e-1,,4.810e-1,2.804e-7,7.654e-31,,4.893e-1,1.314e-8
3460,1.432e+0,3.347e-1,,4.947e-1,3.136e-7,2.394e-31,,6.022e-1,1.643e-8
3465,1.515e+0,2.953e-1,,4.950e-1,3.476e-7,7.160e-32,,7.245e-1,1.986e-8
3470,1.583e+0,2.498e-1,,4.827e-1,3.775e-7,2.047e-32,,8.505e-1,2.323e-8
3475,1.636e+0,2.026e-1,,4.599e-1,3.989e-7,5.594e-33,,9.732e-1,2.630e-8
3480,1.673e+0,1.576e-1,,4.294e-1,4.084e-7,1.461e-33,,1.086e+0,2.882e-8
3485,1.695e+0,1.177e-1,,3.945e-1,4.044e-7,3.649e-34,,1.183e+0,3.059e-8
3490,1.703e+0,8.447e-2,,3.585e-1,3.871e-7,8.711e-35,,1.260e+0,3.145e-8
3495,1.700e+0,5.865e-2,,3.241e-1,3.589e-7,1.988e-35,,1.318e+0,3.133e-8
3500,1.690e+0,4.006e-2,,2.930e-1,3.233e-7,4.340e-36,,1.357e+0,3.023e-8
3505,1.679e+0,2.819e-2,,2.660e-1,2.847e-7,9.134e-37,,1.385e+0,2.825e-8
